gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.774 2.774 -0.011514857 0.016499478 8.3689205E-4
2.785 2.784 -0.01395832 0.014056016 -0.0077152215
2.794 2.794 -0.017623514 0.009169094 -0.011380413
2.804 2.804 -0.023121297 0.0048930384 -0.008936952
2.814 2.814 -0.017623514 0.0061147697 -0.00527176
2.824 2.824 -0.004184477 0.011001691 -0.010158682
2.834 2.834 0.0019241795 0.026884187 -0.006493491
2.844 2.844 0.0043676347 0.0048930384 -0.010769548
2.855 2.854 0.014752347 -0.032980606 -0.010769548
2.864 2.864 0.022082727 -0.052528292 -0.010158682
2.874 2.874 0.02452619 -0.066578194 -0.009547817
2.884 2.884 0.019028403 -0.06230214 -0.0168782
2.894 2.894 0.013530616 -0.034813203 -0.014434739
2.904 2.904 0.01658494 0.0012278482 -0.011380413
2.914 2.914 0.0116980225 0.03910149 -9.95703E-4
2.924 2.924 0.0098654255 0.06659043 -0.002828299
2.934 2.934 0.018417537 0.06048178 -0.00527176
2.947 2.946 0.03857609 0.040934086 0.0020586234
2.964 2.964 0.0349109 -0.0073242653 0.004502084
2.974 2.974 0.017806672 -0.03114801 -0.002828299
2.984 2.984 -0.0035736114 -0.036645796 0.0032803528
2.994 2.994 -0.01945611 -0.036034934 0.008167274
3.004 3.004 -0.01395832 -0.04397618 0.004502084
3.014 3.014 0.0025350377 -0.038478393 0.0038912185
3.024 3.024 0.015974075 -0.014043784 0.011832466
3.034 3.034 0.019028403 0.009169094 0.014275927
3.044 3.044 0.012308884 0.014056016 0.009389006
3.056 3.054 0.005589366 -0.010378592 0.0051129498
3.064 3.064 0.0025350377 -0.009156862 0.006334679
3.076 3.074 -0.007849671 6.169826E-4 0.0057238135
3.084 3.084 -0.008460537 0.0012278482 0.006334679
3.094 3.094 -0.00235188 -0.00182648 0.006334679
3.105 3.104 0.0025350377 -0.006102536 0.006334679
3.114 3.114 -0.0035736114 -0.007935131 0.0032803528
3.125 3.124 -0.00968226 -0.0024373438 8.3689205E-4
3.137 3.134 -0.013347454 0.0024495795 0.0020586234
3.144 3.144 -0.017623514 0.018942941 0.009389006
3.154 3.154 -0.010293126 0.036047168 0.011832466
3.164 3.164 0.0043676347 0.018942941 0.0057238135
3.174 3.174 0.0062002316 -0.00182648 0.011221601
3.185 3.184 -0.0017410144 -0.0067134015 0.013665063
3.194 3.194 -0.0047953427 -0.007935131 0.00877814
3.205 3.204 -0.0011301488 -0.009767728 0.004502084
3.214 3.214 0.0043676347 -0.009767728 0.00877814
3.224 3.224 0.00925456 -0.010989457 0.011221601
3.234 3.234 0.014141481 -0.008545997 0.006334679
3.244 3.244 0.014141481 -0.0024373438 0.0038912185
3.254 3.254 0.005589366 0.004282173 0.0020586234
3.264 3.264 -0.0072388053 0.007947367 0.0032803528
3.280 3.274 -0.0011301488 0.014056016 0.0014477577
3.284 3.284 0.005589366 0.014666881 8.3689205E-4
3.294 3.294 0.015974075 0.0067256354 -0.0040500294
3.304 3.304 0.019028403 -0.008545997 -0.0058826255
3.314 3.314 0.008643694 -0.015265515 -0.007104356
3.324 3.324 -0.00235188 -0.009156862 -0.0077152215
3.334 3.334 -0.012736589 -0.006102536 -0.010158682
3.344 3.344 -0.017012648 -0.007935131 -0.0077152215
3.354 3.354 -0.007849671 -0.0030482095 -0.0022174343
3.364 3.364 0.0116980225 0.005503904 -0.0022174343
3.374 3.374 0.026358787 0.008558229 -0.004660895
3.384 3.384 0.028802246 0.018332075 -0.0077152215
3.394 3.394 0.012308884 0.010390826 -0.012602143
3.404 3.404 -0.0035736114 0.0018387139 -0.009547817
3.414 3.414 -0.01945611 0.0024495795 -0.009547817
3.425 3.424 -0.022510432 0.0048930384 -0.013823873
3.436 3.434 -0.012125723 0.011612557 -0.013823873
3.444 3.444 -0.0047953427 0.025662456 -0.00527176
3.454 3.454 -0.0011301488 0.018942941 -0.0058826255
3.464 3.464 7.024482E-4 0.0061147697 -0.006493491
3.474 3.474 0.0013133138 -0.0067134015 -0.006493491
3.485 3.484 -0.00235188 -0.023817629 -0.011991277
3.495 3.494 -0.0011301488 -0.023817629 -0.013823873
3.504 3.504 -0.0017410144 -0.028093684 -0.007104356
3.514 3.514 -5.192831E-4 -0.012211189 -0.0034391647
3.524 3.524 9.158254E-5 0.009169094 -0.0016065687
3.535 3.534 0.0049785003 0.014056016 -0.011380413
3.545 3.544 0.015363213 -6.047487E-4 -0.018710796
3.554 3.554 0.015974075 -0.0030482095 -0.0168782
3.565 3.564 0.012308884 -0.00549167 -0.012602143
3.575 3.574 0.003756769 -0.008545997 -0.015045604
3.584 3.584 0.0013133138 0.0018387139 -0.014434739
3.594 3.594 0.0098654255 0.025662456 -0.007104356
3.604 3.604 0.01291975 0.05498399 0.0014477577
3.614 3.614 0.00925456 0.04582101 0.0026694871
3.624 3.624 0.008643694 0.008558229 -0.0016065687
3.634 3.634 0.005589366 -0.032980606 -0.006493491
3.644 3.644 0.0025350377 -0.057415217 -0.006493491
3.654 3.654 7.024482E-4 -0.06596733 -0.009547817
3.664 3.664 7.024482E-4 -0.050084833 -0.009547817
3.674 3.674 0.0116980225 -0.014654649 -0.008326086
3.684 3.684 0.019028403 0.025051594 -0.0022174343
3.694 3.694 0.01291975 0.059260048 0.008167274
3.705 3.704 0.003756769 0.07392081 0.0020586234
3.714 3.714 0.015363213 0.04459928 8.3689205E-4
3.724 3.724 0.021471865 0.013445154 0.0020586234
3.734 3.734 0.01658494 -0.012211189 0.004502084
3.745 3.745 0.008032829 -0.021374166 0.0038912185
3.754 3.754 0.0019241795 -0.027482819 0.0038912185
3.764 3.764 -5.192831E-4 -0.023817629 0.009999871
3.774 3.774 0.0062002316 -0.020152437 0.011832466
3.784 3.784 0.005589366 -0.023206763 0.0075564105
3.794 3.794 7.024482E-4 -0.022595897 0.009389006
3.804 3.804 -0.00235188 -0.009767728 0.013665063
3.814 3.814 0.0031459033 -0.0048808046 0.009389006
3.824 3.824 9.158254E-5 -0.013432918 0.0026694871
3.835 3.834 -0.0054062083 -0.011600323 0.006945545
3.844 3.844 -0.0029627457 -0.009767728 0.0057238135
3.855 3.854 0.0049785003 -0.017708976 0.0014477577
3.864 3.864 0.01658494 -0.021985032 -3.8483832E-4
3.875 3.874 0.022082727 -0.012211189 0.004502084
3.885 3.884 0.018417537 -0.00182648 2.260264E-4
3.894 3.894 0.008643694 0.0036713071 -9.95703E-4
3.904 3.904 9.158254E-5 0.0018387139 0.0026694871
3.914 3.914 -0.0066279396 -6.047487E-4 -3.8483832E-4
3.924 3.924 0.008032829 -0.007935131 -3.8483832E-4
3.935 3.934 0.020250134 -0.004269939 0.0020586234
3.944 3.944 0.020250134 0.0061147697 2.260264E-4
3.955 3.954 0.0068110973 0.0030604415 -9.95703E-4
3.964 3.964 -0.004184477 -0.009156862 -0.0034391647
3.975 3.974 -0.00968226 -0.01954157 -0.0022174343
3.986 3.984 -0.0017410144 -0.025650224 2.260264E-4
3.994 3.994 0.0116980225 -0.012822052 0.0020586234
4.004 4.004 0.012308884 0.010390826 2.260264E-4
4.014 4.014 0.013530616 0.024440728 2.260264E-4
4.024 4.024 0.0049785003 0.014056016 8.3689205E-4
4.035 4.034 -0.01945611 0.0018387139 0.0032803528
4.044 4.044 -0.021899566 0.0048930384 0.0020586234
4.055 4.054 -0.020677835 -6.047487E-4 -0.0040500294
4.065 4.064 -0.01395832 -0.007935131 -0.0016065687
4.076 4.074 -0.0066279396 -0.011600323 -0.0016065687
4.087 4.084 -0.009071402 -0.0012156144 -0.004660895
4.095 4.094 -0.010903992 0.009169094 -0.008936952
4.104 4.104 -0.012125723 0.011612557 -0.008936952
4.114 4.114 -0.007849671 0.007336501 -0.0040500294
4.124 4.124 -0.0011301488 0.0067256354 -0.004660895
4.135 4.134 0.010476291 6.169826E-4 -0.007104356
4.145 4.144 0.008032829 0.011001691 -0.00527176
4.154 4.154 -5.192831E-4 -0.00182648 -0.0034391647
4.165 4.164 -0.0011301488 -0.0073242653 -0.008936952
4.174 4.174 -0.0029627457 0.011001691 -0.012602143
4.184 4.184 -0.0029627457 0.031160243 -0.011991277
4.194 4.194 -0.00235188 0.026884187 -0.008936952
4.204 4.204 0.0019241795 0.018942941 -0.00527176
4.216 4.214 -0.0072388053 0.011001691 -0.006493491
4.224 4.224 -0.022510432 0.0018387139 -0.0040500294
4.234 4.234 -0.040836394 -0.023817629 -0.0058826255
4.244 4.244 -0.046334177 -0.038478393 -0.0058826255
4.254 4.254 -0.016401783 -0.026261088 -0.004660895
4.265 4.264 0.008032829 0.0030604415 -0.002828299
4.274 4.274 0.015363213 0.023829862 0.0014477577
4.288 4.284 0.0062002316 0.0213864 -0.0016065687
4.296 4.294 -0.0035736114 0.015277747 -0.002828299
4.304 4.304 -0.0072388053 0.009169094 -0.00527176
4.314 4.314 -0.007849671 0.0012278482 -0.0040500294
4.324 4.324 -0.0035736114 -0.00182648 -0.0016065687
4.335 4.334 0.003756769 -0.010989457 -0.007104356
4.345 4.345 0.003756769 0.005503904 -0.010158682
4.354 4.354 9.158254E-5 0.019553803 -0.007104356
4.367 4.364 -0.023732163 0.061703503 -3.8483832E-4
4.374 4.374 -0.028008223 0.04337755 -0.0034391647
4.384 4.384 -0.018845245 -0.011600323 -0.0058826255
4.394 4.394 -0.010293126 -0.050084833 -0.00527176
4.404 4.404 -0.0047953427 -0.06046954 -0.0058826255
4.414 4.414 -0.00968226 -0.05558262 -0.009547817
4.424 4.424 -0.014569186 -0.034813203 -0.010769548
4.434 4.434 -0.0066279396 -0.004269939 -0.010769548
4.444 4.444 0.0043676347 0.032381974 -0.004660895
4.454 4.454 0.013530616 0.06597956 0.0020586234
4.465 4.464 0.019639269 0.07025562 0.0014477577
4.475 4.475 0.02819138 0.03910149 0.0026694871
4.484 4.484 0.017806672 0.022608131 0.006334679
4.494 4.494 -0.008460537 -0.0048808046 0.0026694871
4.504 4.504 -0.020677835 -0.034813203 -9.95703E-4
4.514 4.514 -0.01823438 -0.054971755 -0.0016065687
4.524 4.524 -0.00235188 -0.059247814 0.0038912185
4.534 4.534 0.0116980225 -0.044587046 0.010610737
4.544 4.544 0.01658494 -0.025039358 0.00877814
4.554 4.554 0.019028403 -0.011600323 0.009999871
4.564 4.564 0.011087157 0.008558229 0.015497658
4.574 4.574 -0.0011301488 0.028105918 0.017330253
4.584 4.584 0.0025350377 0.015277747 0.0057238135
4.594 4.594 0.00925456 6.1169267E-6 0.0038912185
4.604 4.604 0.017806672 -0.0067134015 0.0038912185
4.614 4.614 0.01658494 -0.011600323 0.0020586234
4.624 4.624 0.00925456 -0.014654649 0.0032803528
4.634 4.634 -0.0017410144 -0.018319841 -0.0016065687
4.644 4.644 -0.0066279396 -0.010989457 2.260264E-4
4.654 4.654 -0.0017410144 6.169826E-4 0.0014477577
4.664 4.664 0.007421963 0.0061147697 0.0051129498
4.674 4.674 0.00925456 0.018942941 0.0051129498
4.684 4.684 0.015363213 0.021997266 0.0038912185
4.694 4.694 0.018417537 0.018942941 -3.8483832E-4
4.704 4.704 0.014752347 0.017110344 -0.002828299
4.715 4.714 0.012308884 0.011001691 -3.8483832E-4
4.724 4.724 0.012308884 0.0036713071 -9.95703E-4
4.734 4.734 0.01291975 0.0012278482 -0.0016065687
4.744 4.744 0.007421963 0.0024495795 0.0032803528
4.757 4.756 0.008643694 -0.012822052 -0.0034391647
4.774 4.774 0.014141481 -0.015876379 -0.002828299
4.785 4.784 0.013530616 -0.008545997 -0.002828299
4.794 4.794 0.00925456 -0.007935131 2.260264E-4
4.804 4.804 0.008032829 -0.01709811 8.3689205E-4
4.814 4.814 0.007421963 -0.014043784 8.3689205E-4
4.824 4.824 0.003756769 -0.0036590751 0.0038912185
4.835 4.834 9.158254E-5 -0.004269939 0.0057238135
4.844 4.844 -0.0017410144 -0.008545997 0.0020586234
