gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.651 2.650 -1.2213737E-4 -4.2755157E-5 0.0010079248
2.661 2.660 -1.2213737E-4 0.0011789724 -8.246703E-4
2.671 2.670 0.002932191 -4.2755157E-5 3.9706007E-4
2.681 2.680 0.0023213252 -0.0012644865 -2.1380559E-4
2.691 2.690 0.0017104596 -6.536208E-4 3.9706007E-4
2.701 2.700 0.0010995939 -6.536208E-4 -8.246703E-4
2.711 2.710 -7.33003E-4 -0.0018753521 3.9706007E-4
2.721 2.720 0.002932191 -0.0012644865 0.0016187904
2.731 2.730 0.0017104596 -6.536208E-4 -8.246703E-4
2.744 2.740 -7.33003E-4 -4.2755157E-5 3.9706007E-4
2.751 2.750 0.0010995939 -0.0018753521 3.9706007E-4
2.761 2.760 0.0010995939 0.0011789724 0.0016187904
2.771 2.770 4.887283E-4 -4.2755157E-5 -8.246703E-4
2.781 2.780 -1.2213737E-4 5.681105E-4 3.9706007E-4
2.791 2.790 -1.2213737E-4 5.681105E-4 -2.1380559E-4
2.801 2.800 0.002932191 -0.0018753521 0.0016187904
2.811 2.810 -0.0013438687 5.681105E-4 -8.246703E-4
2.821 2.820 -7.33003E-4 -4.2755157E-5 -8.246703E-4
2.831 2.830 -0.0013438687 -0.0018753521 -2.1380559E-4
2.841 2.840 -7.33003E-4 -4.2755157E-5 0.0010079248
2.851 2.850 -7.33003E-4 -6.536208E-4 3.9706007E-4
2.861 2.860 -1.2213737E-4 -6.536208E-4 0.0010079248
2.871 2.870 4.887283E-4 0.0011789724 3.9706007E-4
2.881 2.880 4.887283E-4 -6.536208E-4 0.0010079248
2.894 2.890 4.887283E-4 -0.0012644865 0.0010079248
2.901 2.900 -7.33003E-4 5.681105E-4 3.9706007E-4
2.911 2.910 4.887283E-4 -6.536208E-4 3.9706007E-4
2.921 2.920 0.0010995939 -6.536208E-4 -8.246703E-4
2.931 2.930 -1.2213737E-4 0.0011789724 0.0010079248
2.941 2.940 0.0010995939 -0.0012644865 -2.1380559E-4
2.951 2.950 0.0010995939 -0.0012644865 -8.246703E-4
2.961 2.960 -0.0013438687 -4.2755157E-5 3.9706007E-4
2.971 2.970 0.0010995939 -0.0012644865 -8.246703E-4
2.981 2.980 -1.2213737E-4 -0.0012644865 -2.1380559E-4
2.991 2.990 4.887283E-4 -0.0012644865 3.9706007E-4
3.001 3.000 0.0017104596 -0.0012644865 3.9706007E-4
3.011 3.010 -7.33003E-4 -4.2755157E-5 -8.246703E-4
3.021 3.020 -7.33003E-4 -6.536208E-4 -2.1380559E-4
3.031 3.030 -1.2213737E-4 -4.2755157E-5 3.9706007E-4
3.042 3.040 -1.2213737E-4 -0.0024862178 0.0010079248
3.051 3.050 4.887283E-4 5.681105E-4 0.0010079248
3.061 3.060 -7.33003E-4 -0.0018753521 -2.1380559E-4
3.071 3.070 -1.2213737E-4 -4.2755157E-5 -0.001435536
3.081 3.080 -1.2213737E-4 -4.2755157E-5 3.9706007E-4
3.091 3.090 4.887283E-4 -4.2755157E-5 3.9706007E-4
3.101 3.100 -1.2213737E-4 -0.0012644865 3.9706007E-4
3.112 3.110 0.0010995939 -4.2755157E-5 -8.246703E-4
3.121 3.120 0.0023213252 -0.0024862178 3.9706007E-4
3.131 3.130 4.887283E-4 -6.536208E-4 0.0016187904
3.141 3.140 0.0023213252 0.0017898381 -2.1380559E-4
3.151 3.150 0.0010995939 5.681105E-4 -8.246703E-4
3.161 3.160 0.0023213252 -4.2755157E-5 -2.1380559E-4
3.171 3.170 -7.33003E-4 -4.2755157E-5 -2.1380559E-4
3.181 3.180 4.887283E-4 -0.0012644865 3.9706007E-4
3.191 3.190 0.0010995939 5.681105E-4 3.9706007E-4
3.201 3.200 4.887283E-4 -6.536208E-4 -2.1380559E-4
3.211 3.210 6.353557E-4 0.0012095161 9.040758E-4
3.230 3.220 0.0012462214 -0.0012339428 0.0015149415
3.231 3.230 0.0012462214 -0.0012339428 0.0015149415
3.242 3.240 -5.863756E-4 -0.0030665398 9.040758E-4
3.251 3.250 -0.0018081069 -1.2211502E-5 -3.1765457E-4
3.260 3.260 -5.863756E-4 0.0018203817 2.9321108E-4
3.271 3.270 0.0012462214 -1.2211502E-5 -0.001539385
3.280 3.280 0.0012462214 -6.2307715E-4 -0.001539385
3.290 3.290 -5.863756E-4 -1.2211502E-5 0.0021258062
3.300 3.300 0.0030788183 -6.2307715E-4 2.9321108E-4
3.310 3.310 6.353557E-4 -1.2211502E-5 -0.0021502506
3.321 3.320 0.001857087 -6.2307715E-4 0.0015149415
3.331 3.330 -0.0011972412 0.0018203817 -3.1765457E-4
3.341 3.340 0.001857087 -1.2211502E-5 2.9321108E-4
3.351 3.350 0.001857087 -6.2307715E-4 2.9321108E-4
3.361 3.360 0.003689684 -6.2307715E-4 -0.001539385
3.371 3.370 2.4490058E-5 -0.0012339428 0.0015149415
3.381 3.380 0.0012462214 -6.2307715E-4 2.9321108E-4
3.391 3.390 2.4490058E-5 -1.2211502E-5 0.0015149415
3.401 3.400 2.4490058E-5 5.9865415E-4 2.9321108E-4
3.412 3.410 0.001857087 -0.0018448085 9.040758E-4
3.421 3.420 -5.863756E-4 5.9865415E-4 -3.1765457E-4
3.431 3.430 -5.863756E-4 -6.2307715E-4 -3.1765457E-4
3.441 3.440 -5.863756E-4 0.0012095161 -0.001539385
3.451 3.450 0.0024679527 5.9865415E-4 -9.285193E-4
3.461 3.460 -5.863756E-4 -0.002455674 -0.001539385
3.473 3.470 -0.0024189726 -0.0018448085 2.9321108E-4
3.481 3.480 0.0024679527 -1.2211502E-5 2.9321108E-4
3.491 3.490 -0.0024189726 -1.2211502E-5 -9.285193E-4
3.501 3.500 0.001857087 -1.2211502E-5 -9.285193E-4
3.511 3.510 0.001857087 -0.0012339428 9.040758E-4
3.521 3.520 0.001857087 -6.2307715E-4 -3.1765457E-4
3.531 3.530 6.353557E-4 -1.2211502E-5 2.9321108E-4
3.541 3.540 0.0012462214 -1.2211502E-5 -3.1765457E-4
3.551 3.550 0.0012462214 -6.2307715E-4 -9.285193E-4
3.561 3.560 6.353557E-4 5.9865415E-4 2.9321108E-4
3.571 3.570 6.353557E-4 -1.2211502E-5 -3.1765457E-4
3.581 3.580 2.4490058E-5 -1.2211502E-5 0.0015149415
3.591 3.590 0.0024679527 -0.0018448085 9.040758E-4
3.600 3.600 6.353557E-4 -6.2307715E-4 2.9321108E-4
3.610 3.610 0.0012462214 -0.0018448085 -3.1765457E-4
3.621 3.620 0.0012462214 -0.0012339428 2.9321108E-4
3.630 3.630 0.0012462214 -1.2211502E-5 -0.001539385
3.640 3.640 6.353557E-4 -6.2307715E-4 9.040758E-4
3.650 3.650 2.4490058E-5 -0.002455674 -0.0027611153
3.660 3.660 -5.863756E-4 -0.0012339428 -0.001539385
3.670 3.670 0.0030788183 5.9865415E-4 -0.001539385
3.680 3.680 0.0012462214 -1.2211502E-5 9.040758E-4
3.691 3.690 0.001857087 5.9865415E-4 2.9321108E-4
3.701 3.700 0.0012462214 -1.2211502E-5 2.9321108E-4
3.711 3.710 0.0012462214 0.0012095161 2.9321108E-4
3.721 3.720 6.353557E-4 -6.2307715E-4 -3.1765457E-4
3.731 3.730 0.0012462214 -0.002455674 -9.285193E-4
3.741 3.740 0.0012462214 -1.2211502E-5 0.0027366718
3.751 3.750 0.0012462214 -1.2211502E-5 -9.285193E-4
3.761 3.760 0.0012462214 -0.0018448085 0.0015149415
3.772 3.770 6.353557E-4 -1.2211502E-5 0.0021258062
3.781 3.780 0.001857087 -0.0018448085 -3.1765457E-4
3.791 3.790 0.0012462214 0.0012095161 0.0015149415
3.801 3.800 2.4490058E-5 -6.2307715E-4 -0.001539385
3.811 3.810 0.001857087 -0.0012339428 -3.1765457E-4
3.821 3.820 0.0012462214 -1.2211502E-5 9.040758E-4
3.831 3.830 0.0012462214 -6.2307715E-4 9.040758E-4
3.842 3.840 6.353557E-4 -6.2307715E-4 2.9321108E-4
3.852 3.850 0.001857087 -0.0012339428 0.0021258062
3.861 3.860 0.001857087 -0.0018448085 2.9321108E-4
3.871 3.870 6.353557E-4 -0.0018448085 -9.285193E-4
3.881 3.880 0.0012462214 -1.2211502E-5 -3.1765457E-4
3.891 3.890 6.353557E-4 -0.0012339428 -9.285193E-4
3.900 3.900 6.353557E-4 -6.2307715E-4 -3.1765457E-4
3.911 3.910 0.0030788183 5.9865415E-4 2.9321108E-4
3.920 3.920 0.0012462214 -0.0012339428 2.9321108E-4
3.930 3.930 6.353557E-4 -6.2307715E-4 -0.001539385
3.940 3.940 2.4490058E-5 -0.002455674 -3.1765457E-4
3.950 3.950 0.003689684 -1.2211502E-5 -3.1765457E-4
3.961 3.960 6.353557E-4 -6.2307715E-4 2.9321108E-4
3.971 3.970 0.0012462214 -0.0012339428 -3.1765457E-4
3.981 3.980 2.4490058E-5 -6.2307715E-4 2.9321108E-4
3.991 3.990 6.353557E-4 -0.0018448085 2.9321108E-4
4.001 4.000 0.0012462214 0.0012095161 -3.1765457E-4
4.011 4.010 0.0012462214 5.9865415E-4 0.0015149415
4.021 4.020 6.353557E-4 5.9865415E-4 -3.1765457E-4
4.031 4.030 0.001857087 -6.2307715E-4 -3.1765457E-4
4.041 4.040 6.353557E-4 -1.2211502E-5 9.040758E-4
4.051 4.050 -5.863756E-4 -0.0018448085 0.0015149415
4.061 4.060 -0.0011972412 5.9865415E-4 -3.1765457E-4
4.073 4.070 2.4490058E-5 0.0018203817 -3.1765457E-4
4.081 4.080 0.004911408 0.0012095161 2.9321108E-4
4.091 4.090 -0.0011972412 -0.0018448085 0.0015149415
4.101 4.100 -0.0011972412 -0.0012339428 2.9321108E-4
4.111 4.110 0.0012462214 -0.0012339428 -3.1765457E-4
4.121 4.120 0.001857087 -0.0018448085 -3.1765457E-4
4.131 4.130 0.003689684 -0.0012339428 -3.1765457E-4
4.141 4.140 -5.863756E-4 -1.2211502E-5 9.040758E-4
4.151 4.150 2.4490058E-5 -0.0018448085 -3.1765457E-4
4.161 4.160 0.001857087 -6.2307715E-4 9.040758E-4
4.171 4.170 6.353557E-4 -1.2211502E-5 -3.1765457E-4
4.181 4.180 0.0012462214 -0.002455674 -3.1765457E-4
4.191 4.190 0.0012462214 -6.2307715E-4 0.0027366718
4.202 4.200 2.4490058E-5 -0.0012339428 -0.0021502506
4.211 4.210 2.4490058E-5 -0.0012339428 2.9321108E-4
4.221 4.221 6.353557E-4 -0.0012339428 -3.1765457E-4
4.231 4.230 -0.0011972412 -6.2307715E-4 -3.1765457E-4
4.240 4.240 0.0024679527 -1.2211502E-5 -3.1765457E-4
4.251 4.250 6.353557E-4 -1.2211502E-5 2.9321108E-4
4.261 4.260 4.7650933E-4 7.0250034E-4 -0.0016676672
4.271 4.270 4.7650933E-4 -0.002351828 -4.459368E-4
4.281 4.280 0.0016982406 -5.1923096E-4 7.7579357E-4
4.291 4.290 -1.3435632E-4 -5.1923096E-4 -0.0010568015
4.301 4.300 0.0035308376 7.0250034E-4 0.0026083896
