gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
3.995 3.994 0.038032476 -0.0052900948 0.026560418
4.005 4.004 0.058801893 -0.008344419 0.035723396
4.015 4.014 0.047195453 0.0014294237 0.030836474
4.025 4.024 0.017263055 0.011814132 0.021673497
4.035 4.034 -0.0016737655 0.008759808 0.020451766
4.045 4.044 -0.0065606907 0.005094614 0.015564845
4.055 4.054 -0.005949825 0.013035864 0.013121384
4.065 4.064 -0.021221451 0.010592401 0.007623597
4.075 4.074 -0.03466049 -0.014453072 -9.285165E-4
4.087 4.084 -0.04015828 -0.040720277 0.003958405
4.095 4.094 -0.035271354 -0.048661526 0.009456192
4.105 4.104 -0.03282789 -0.01995086 0.0051801363
4.115 4.114 -0.02427578 -0.0022357665 2.9321387E-4
4.125 4.124 -0.021832317 0.014257595 0.008845328
4.135 4.134 -0.021221451 0.032583553 0.011899653
4.145 4.144 -0.021221451 0.05823989 0.018008307
4.155 4.154 -0.022443183 0.07473326 0.025338687
4.165 4.164 -0.051153854 0.051520374 0.021673497
4.175 4.174 -0.09635788 0.01853365 0.011899653
4.185 4.184 -0.13911845 -0.0016249008 0.005791002
4.195 4.194 -0.16538565 0.006927211 -3.1765085E-4
4.205 4.204 -0.17088343 0.028307494 0.0027366756
4.214 4.214 -0.16172045 0.043579128 0.0015149442
4.225 4.224 -0.1470597 0.061905082 -0.0033719772
4.238 4.234 -0.113462105 0.07290065 0.00212581
4.245 4.244 -0.061538562 0.07656585 0.01373225
4.255 4.254 -0.012058474 0.06679201 0.023506094
4.265 4.264 0.018484786 0.058850754 0.026560418
4.275 4.274 0.027036902 0.011203267 0.024727821
4.285 4.284 0.023982573 -0.012009611 0.032058205
4.295 4.294 0.011765271 -0.020561725 0.038777724
4.305 4.304 -0.0035063624 -0.016285667 0.04061032
4.315 4.314 -0.0071715564 -0.015674803 0.03816686
4.325 4.324 0.0050457492 -0.016285667 0.030836474
4.335 4.334 0.020928249 -0.029724702 0.027171284
4.345 4.344 0.025204305 -0.0456072 0.023506094
4.355 4.354 0.014819596 -0.0456072 0.016786575
4.365 4.364 -0.004117228 -0.03644422 0.008234463
4.375 4.374 -0.013891071 -0.016896533 0.008845328
4.386 4.384 -0.012058474 0.038081337 0.014953979
4.395 4.394 -0.008393288 0.050298642 0.01373225
4.405 4.404 -0.010225877 0.042968262 0.013121384
4.414 4.414 -0.015723668 0.025864031 0.011899653
4.425 4.424 -0.017556265 0.01853365 0.011288789
4.435 4.434 -0.0096150115 0.0075380765 0.013121384
4.445 4.444 -0.007782422 -0.013842206 0.008845328
4.455 4.454 -0.0047280937 -0.030335568 0.005791002
4.465 4.464 -0.0035063624 -0.03400076 0.0064018657
4.475 4.474 -0.007782422 -0.027281243 0.008845328
4.485 4.484 -0.020610586 -0.023005186 0.011899653
4.495 4.494 -0.023664914 -0.0077335536 0.016786575
4.505 4.504 -0.018777996 0.0020402893 0.01617571
4.515 4.514 -0.018777996 0.011814132 0.0143431155
4.525 4.524 -0.022443183 -0.0010140352 0.008234463
4.537 4.534 -0.022443183 -0.027281243 0.0051801363
4.545 4.544 -0.01999972 -0.043774605 0.0015149442
4.554 4.554 -0.013280205 -0.04316374 -0.0015393812
4.565 4.564 -0.0169454 -0.027281243 -9.285165E-4
4.575 4.574 -0.021221451 -0.027281243 -0.0045937076
4.585 4.584 -0.014501937 -0.038887683 -0.0021502469
4.594 4.594 -0.010836743 -0.029724702 0.0033475403
4.605 4.604 0.0032131523 0.004483752 0.0051801363
4.614 4.614 0.0013805628 0.014868461 0.011288789
4.624 4.624 -0.0028954968 0.011814132 0.0070127314
4.634 4.634 -0.014501937 0.009370673 0.0033475403
4.644 4.644 -0.022443183 0.013035864 9.040795E-4
4.654 4.654 -0.013891071 0.013646729 0.00212581
4.664 4.664 -0.01266934 0.002651155 0.0051801363
4.674 4.674 -0.007782422 -0.011398746 0.003958405
4.684 4.684 -0.01266934 -0.011398746 0.008845328
4.694 4.694 -0.015723668 -0.0040683635 0.013121384
4.704 4.704 -0.007782422 0.011203267 0.01373225
4.714 4.714 0.0019914284 0.022198841 0.014953979
4.724 4.724 -0.004117228 0.020366248 0.010677923
4.735 4.734 -0.013891071 0.008759808 0.010067058
4.745 4.744 -0.017556265 -0.011398746 0.011288789
4.755 4.754 -0.015112802 -0.020561725 0.0070127314
4.765 4.764 -0.0053389594 -0.027281243 0.003958405
4.774 4.774 0.0050457492 -0.03522249 0.005791002
4.785 4.784 0.011154406 -0.0315573 0.010677923
4.795 4.794 0.011765271 -0.018118264 0.014953979
4.805 4.804 0.0044348836 -0.0022357665 0.017397441
4.815 4.814 -0.0028954968 8.1855804E-4 0.0198409
4.825 4.824 -0.016334534 -0.018118264 0.019230038
4.835 4.834 -0.023054048 -0.018118264 0.017397441
4.845 4.844 -0.035271354 -0.042552873 0.020451766
4.855 4.854 -0.045045197 -0.03277903 0.014953979
4.865 4.864 -0.06459288 -0.02483778 0.011899653
4.875 4.874 -0.08108625 -0.029724702 0.010067058
4.885 4.884 -0.10735345 -0.040720277 0.010677923
4.895 4.894 -0.13850757 -0.06393316 0.0051801363
4.905 4.904 -0.15805528 -0.07248527 0.0027366756
